Reading,Abraham Lincoln,My Best Friend is a person who will give me a book I have not read.
Reading,Abraham Lincoln,Books serve to show a man that those original thoughts of his aren't very new after all.
Reading,George R.R. Martin,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one."
Reading,Dr. Seuss,"The more that you read, the more things you will know. The more that you learn, the more places you'll go."
Reading,Margaret Fuller,"Today a reader, tomorrow a leader."
Reading,Franz Kafka,Many a book is like a key to unknown chambers within the castle of one¡¯s own self.
Reading,Thomas Babington Macaulay,"What a blessing it is to love books as I love them;- to be able to converse with the dead, and to live amidst the unreal!"
Reading,Joyce Carol Oates,"Reading is the sole means by which we slip, involuntarily, often helplessly, into another's skin, another's voice, another's soul."
Reading,William Styron,"A great book should leave you with many experiences, and slightly exhausted at the end. You live several lives while reading."
Reading,Cicero,A room without books is like a body without a soul.
Reading,Mark Twain,"Good friends, good books, and a sleepy conscience: this is the ideal life."
Reading,Haruki Murakami,"If you only read the books that everyone else is reading, you can only think what everyone else is thinking."
Reading,Toni Morrison,"If there's a book that you want to read, but it hasn't been written yet, then you must write it."
Reading,Charles William Eliot,"Books are the quietest and most constant of friends; they are the most accessible and wisest of counselors, and the most patient of teachers."
Reading,George R.R. Martin,"A mind needs books as a sword needs a whetstone, if it is to keep its edge."
Reading,Thomas Jefferson,I cannot live without books.
Reading,Stephen King,"Books are the perfect entertainment: no commercials, no batteries, hours of enjoyment for each dollar spent. What I wonder is why everybody doesn't carry a book around for those inevitable dead spots in life."
Reading,James Baldwin,"You think your pain and your heartbreak are unprecedented in the history of the world, but then you read. It was books that taught me that the things that tormented me most were the very things that connected me with all the people who were alive, or who had ever been alive."
Reading,Ralph Waldo Emerson,"I cannot remember the books I've read any more than the meals I have eaten; even so, they have made me."
Reading,Walt Disney,"There is more treasure in books than in all the pirates' loot on Treasure Island and best of all, you can enjoy these riches every day of your life."
Reading,Malcolm X,"My alma mater was books, a good library.... I could spend the rest of my life reading, just satisfying my curiosity."
Reading,Ursula K. Le Guin,"We read books to find out who we are. What other people, real or imaginary, do and think and feel... is an essential guide to our understanding of what we ourselves are and may become."
Reading,Stephen King,"When asked, ""How do you write?"" I invariably answer, ""One word at a time,"" and the answer is invariably dismissed. But that is all it is. It sounds too simple to be true, but consider the Great Wall of China, if you will: one stone at a time, man. That's all. One stone at a time. But I've read you can see that motherfucker from space without a telescope."
Reading,C.S. Lewis,We read to know that we are not alone
